"oldcode";"dis_code";"dis_nom";"dep_code";"dep_nom";"spr_code";"spr_nom";"pop";"men";"camion_public";"precollecteur";"depot_amenage";"depot_sauvage";"nature";"brule";"enterre";"autre"
"CI230107";"J";"Sassandra-Marahoue";"J5";"Bonon";"J502";"Zaguiéta";50525;6731;22;24;181;1697;4560;217;30;0
"CI230101";"J";"Sassandra-Marahoue";"J6";"Bouaflé";"J601";"Bégbéssou";24476;5519;18;254;130;952;3679;394;92;0
"CI230103";"J";"Sassandra-Marahoue";"J6";"Bouaflé";"J602";"Bouaflé";213967;45210;2489;2276;2890;12231;21911;3328;85;0
"CI230104";"J";"Sassandra-Marahoue";"J6";"Bouaflé";"J603";"N'Douffoukankro";20025;3575;51;2;181;894;2351;94;2;0
"CI230105";"J";"Sassandra-Marahoue";"J6";"Bouaflé";"J604";"Pakouabo";19597;4411;7;8;186;521;3623;64;2;0
"CI230106";"J";"Sassandra-Marahoue";"J6";"Bouaflé";"J605";"Tibéita";22239;4301;12;22;60;466;3369;352;20;0
"CI230302";"J";"Sassandra-Marahoue";"J7";"Gohitafla";"J701";"Gohitafla";46470;6249;101;138;570;1895;3205;330;8;2
"CI230303";"J";"Sassandra-Marahoue";"J7";"Gohitafla";"J702";"Iriéfla";8406;1107;0;0;2;430;645;27;3;0
"CI230305";"J";"Sassandra-Marahoue";"J7";"Gohitafla";"J703";"Maminigui";28495;4012;53;58;32;978;2870;17;3;1
"CI230202";"J";"Sassandra-Marahoue";"J8";"Sinfra";"J801";"Bazré";30562;5277;9;0;216;1239;3297;400;116;0
"CI230203";"J";"Sassandra-Marahoue";"J8";"Sinfra";"J802";"Kononfla";55427;10195;19;27;716;3497;5359;418;159;0
"CI230204";"J";"Sassandra-Marahoue";"J8";"Sinfra";"J803";"Kouétinfla";22028;4871;6;0;17;2337;2100;398;13;0
"CI230201";"J";"Sassandra-Marahoue";"J8";"Sinfra";"J804";"Sinfra";137210;24635;3357;1093;629;8536;8552;2422;45;1
"CI230304";"J";"Sassandra-Marahoue";"J9";"Zuénoula";"J901";"Kanzra";36674;5605;1;0;13;639;4789;158;5;0
"CI230306";"J";"Sassandra-Marahoue";"J9";"Zuénoula";"J902";"Voueboufla";25213;4779;2;0;2;536;4201;36;2;0
"CI230307";"J";"Sassandra-Marahoue";"J9";"Zuénoula";"J903";"Zanzra";44381;7278;779;594;1176;749;3526;429;25;0
"CI230301";"J";"Sassandra-Marahoue";"J9";"Zuénoula";"J904";"Zuénoula";78613;14815;2049;1020;778;2783;7334;819;31;1
"CI280101";"K";"Savanes";"K1";"Dikodougou";"K101";"Boron";34308;4587;4;3;140;1433;2728;253;26;0
"CI280102";"K";"Savanes";"K1";"Dikodougou";"K102";"Dikodougou";47935;7362;28;12;144;2716;3519;918;25;0
"CI280103";"K";"Savanes";"K1";"Dikodougou";"K103";"Guiembé";19872;3195;73;7;10;750;1266;1050;39;0
"CI280202";"K";"Savanes";"K2";"Korhogo";"K201";"Dassoungboho";8703;1381;5;1;2;437;838;94;4;0
"CI280203";"K";"Savanes";"K2";"Korhogo";"K202";"Kanoroba";24548;3436;217;4;29;1887;1128;171;0;0
"CI280204";"K";"Savanes";"K2";"Korhogo";"K203";"Karakoro";22982;3498;201;20;112;864;1404;731;166;0
"CI280205";"K";"Savanes";"K2";"Korhogo";"K204";"Kiémou";31958;5822;31;382;52;838;3310;1199;10;0
"CI280206";"K";"Savanes";"K2";"Korhogo";"K205";"Kombolokoura";8930;1776;0;2;3;1263;386;120;2;0
"CI280207";"K";"Savanes";"K2";"Korhogo";"K206";"Komborodougou";16703;2810;6;129;41;840;1271;504;19;0
"CI280208";"K";"Savanes";"K2";"Korhogo";"K207";"Koni";17054;2699;2;24;35;982;857;786;13;0
"CI280201";"K";"Savanes";"K2";"Korhogo";"K208";"Korhogo";440926;81738;14043;16215;10236;13911;13331;13871;129;2
"CI280209";"K";"Savanes";"K2";"Korhogo";"K209";"Lataha";26895;4516;1;1;76;1206;2326;885;21;0
"CI280211";"K";"Savanes";"K2";"Korhogo";"K210";"Nafoun";10206;1442;1;9;26;660;524;221;1;0
"CI280212";"K";"Savanes";"K2";"Korhogo";"K211";"Napiéléodougou";31004;6429;255;371;166;1340;3109;1155;33;0
"CI280210";"K";"Savanes";"K2";"Korhogo";"K212";"N'Ganon";9181;1767;0;0;4;500;916;343;4;0
"CI280213";"K";"Savanes";"K2";"Korhogo";"K213";"Niofoin";36772;6844;16;6;10;2574;3453;758;26;1
"CI280214";"K";"Savanes";"K2";"Korhogo";"K214";"Sirasso";29633;4495;4;9;29;2400;1552;497;3;1
"CI280215";"K";"Savanes";"K2";"Korhogo";"K215";"Sohouo";11434;1907;0;3;5;232;1267;397;3;0
"CI280216";"K";"Savanes";"K2";"Korhogo";"K216";"Tioroniaradougou";21464;3424;11;3;229;921;1475;742;43;0
"CI280302";"K";"Savanes";"K3";"M'Bengué";"K301";"Bougou";16369;1667;0;1;50;162;945;469;40;0
"CI280303";"K";"Savanes";"K3";"M'Bengué";"K302";"Katiali";13074;1810;1;2;8;352;861;564;22;0
"CI280304";"K";"Savanes";"K3";"M'Bengué";"K303";"Katogo";19749;2912;3;108;26;237;1986;542;10;0
"CI280301";"K";"Savanes";"K3";"M'Bengué";"K304";"M'Bengué";65779;11963;619;283;478;2663;5587;2141;175;17
"CI280402";"K";"Savanes";"K4";"Sinématiali";"K401";"Bahouakaha";6300;1066;0;0;24;282;610;126;19;5
"CI280403";"K";"Savanes";"K4";"Sinématiali";"K402";"Kagbolodougou";10153;1783;9;1;7;465;913;372;16;0
"CI280404";"K";"Savanes";"K4";"Sinématiali";"K403";"Sédiogo";6600;1181;6;6;34;322;640;173;0;0
"CI280401";"K";"Savanes";"K4";"Sinématiali";"K404";"Sinématiali";51929;8663;384;309;291;1969;3968;1575;167;0
"CI310101";"K";"Savanes";"K5";"Ferkessédougou";"K501";"Ferkéssédougou";160267;29865;3314;2365;2595;7011;10211;4323;46;0
"CI310102";"K";"Savanes";"K5";"Ferkessédougou";"K502";"Koumbala";14531;2085;13;2;28;517;1452;72;1;0
"CI310103";"K";"Savanes";"K5";"Ferkessédougou";"K503";"Togoniéré";15342;2487;0;1;16;754;1527;184;5;0
"CI310202";"K";"Savanes";"K6";"Kong";"K601";"Bilimono";28740;4072;1;2;24;861;3124;36;24;0
"CI310201";"K";"Savanes";"K6";"Kong";"K602";"Kong";33391;5917;1738;29;44;395;3522;187;2;0
"CI310203";"K";"Savanes";"K6";"Kong";"K603";"Nafana";28439;4032;4;1;5;429;3424;168;1;0
"CI310204";"K";"Savanes";"K6";"Kong";"K604";"Sikolo";27733;5371;10;26;12;234;4095;989;5;0
"CI310302";"K";"Savanes";"K7";"Ouangolodougou";"K701";"Diawala";85334;8067;616;139;493;3021;2895;821;82;0
"CI310303";"K";"Savanes";"K7";"Ouangolodougou";"K702";"Kaouara";33558;4142;15;77;25;804;2643;549;29;0
"CI310304";"K";"Savanes";"K7";"Ouangolodougou";"K703";"Niellé";48524;5501;456;26;115;1465;2902;511;26;0
"CI310301";"K";"Savanes";"K7";"Ouangolodougou";"K704";"Ouangolodougou";82801;13218;1706;2875;438;1997;4428;1691;60;23
"CI310305";"K";"Savanes";"K7";"Ouangolodougou";"K705";"Toumoukoro";44423;4959;38;34;374;1995;1605;782;130;1
"CI050101";"K";"Savanes";"K8";"Boundiali";"K801";"Baya";16715;2019;2;11;65;1074;704;156;7;0
"CI050102";"K";"Savanes";"K8";"Boundiali";"K802";"Boundiali";92792;13905;741;1878;835;5231;2940;2249;31;0
"CI050103";"K";"Savanes";"K8";"Boundiali";"K803";"Ganaoni";25216;3676;13;1;178;1014;2230;238;2;0
"CI050104";"K";"Savanes";"K8";"Boundiali";"K804";"Kasséré";39106;5711;79;137;132;2281;2078;930;74;0
"CI050105";"K";"Savanes";"K8";"Boundiali";"K805";"Siempurgo";24713;4102;80;106;168;1630;1694;421;3;0
"CI050202";"K";"Savanes";"K9";"Kouto";"K901";"Blességué";21345;2364;2;5;15;1002;1088;207;45;0
"CI050203";"K";"Savanes";"K9";"Kouto";"K902";"Gbon";32189;2819;8;25;46;1857;499;380;4;0
"CI050204";"K";"Savanes";"K9";"Kouto";"K903";"Kolia";32113;3097;42;122;176;1629;644;476;8;0
"CI050201";"K";"Savanes";"K9";"Kouto";"K904";"Kouto";55893;5958;190;51;494;2408;1853;943;18;1
"CI050205";"K";"Savanes";"K9";"Kouto";"K905";"Sianhala";34048;2694;10;1;28;1372;1018;259;6;0
"CI050302";"K";"Savanes";"KA";"Tengrela";"KA01";"Débété";5229;699;9;0;11;252;271;156;0;0
"CI050303";"K";"Savanes";"KA";"Tengrela";"KA02";"Kanakono";30630;4821;0;3;176;3047;764;737;93;1
"CI050304";"K";"Savanes";"KA";"Tengrela";"KA03";"Papara";13448;3443;122;17;8;1309;1133;802;52;0
"CI050301";"K";"Savanes";"KA";"Tengrela";"KA04";"Tengrela";92454;13496;212;158;1237;6878;2827;2108;76;0
"CI110101";"L";"Vallée du Bandama";"L1";"Béoumi";"L101";"Ando-Kékrénou";16826;2618;1;0;80;174;2036;276;50;1
"CI110102";"L";"Vallée du Bandama";"L1";"Béoumi";"L102";"Béoumi";85600;15381;1005;934;413;3983;7982;1022;40;2
"CI110103";"L";"Vallée du Bandama";"L1";"Béoumi";"L103";"Bodokro";37048;5223;1;9;54;1052;3905;135;67;0
"CI110104";"L";"Vallée du Bandama";"L1";"Béoumi";"L104";"Kondrobo";18052;2534;8;2;320;119;1864;217;4;0
"CI110105";"L";"Vallée du Bandama";"L1";"Béoumi";"L105";"Lolobo";11586;1592;2;0;172;128;1270;19;1;0
"CI110106";"L";"Vallée du Bandama";"L1";"Béoumi";"L106";"Marabadiassa";10664;1870;12;0;7;328;1242;276;5;0
"CI110107";"L";"Vallée du Bandama";"L1";"Béoumi";"L107";"N'Guéssankro";15239;2198;0;4;3;156;2020;12;3;0
"CI110201";"L";"Vallée du Bandama";"L2";"Botro";"L201";"Botro";36461;5547;824;60;568;1076;2778;227;14;0
"CI110202";"L";"Vallée du Bandama";"L2";"Botro";"L202";"Diabo";35761;5539;152;55;339;1334;3160;475;24;0
"CI110203";"L";"Vallée du Bandama";"L2";"Botro";"L203";"Krofoinsou";13402;1999;0;0;8;132;1802;50;7;0
"CI110204";"L";"Vallée du Bandama";"L2";"Botro";"L204";"Languibonou";32300;5224;42;6;147;1362;3520;139;8;0
"CI110301";"L";"Vallée du Bandama";"L3";"Bouaké";"L301";"Bouaké";832371;152187;20937;29016;33745;33339;28497;6411;229;13
"CI110302";"L";"Vallée du Bandama";"L3";"Bouaké";"L302";"Bounda";15710;1975;61;73;130;378;1136;188;9;0
"CI110303";"L";"Vallée du Bandama";"L3";"Bouaké";"L303";"Brobo";22780;4123;918;109;169;857;1771;261;38;0
"CI110304";"L";"Vallée du Bandama";"L3";"Bouaké";"L304";"Djébonoua";40481;6242;521;20;82;1959;3304;340;16;0
"CI110305";"L";"Vallée du Bandama";"L3";"Bouaké";"L305";"Mamini";20509;2953;22;15;34;362;2404;108;8;0
"CI110402";"L";"Vallée du Bandama";"L4";"Sakassou";"L401";"Ayaou-Sran";16278;3431;0;0;3;520;2865;43;0;0
"CI110403";"L";"Vallée du Bandama";"L4";"Sakassou";"L402";"Dibri-Assirikro";18405;3043;16;0;83;477;2386;69;12;0
"CI110401";"L";"Vallée du Bandama";"L4";"Sakassou";"L403";"Sakassou";69386;13362;606;90;1073;3456;7756;340;31;10
"CI110404";"L";"Vallée du Bandama";"L4";"Sakassou";"L404";"Toumodi-Sakassou";4041;981;0;1;4;132;824;19;1;0
"CI170101";"L";"Vallée du Bandama";"L5";"Dabakala";"L501";"Bassawa";21487;4376;2;4;174;1285;2791;51;31;38
"CI170102";"L";"Vallée du Bandama";"L5";"Dabakala";"L502";"Bonieredougou";27696;6095;346;62;143;1474;3862;200;8;0
"CI170103";"L";"Vallée du Bandama";"L5";"Dabakala";"L503";"Dabakala";78634;14894;289;293;459;4791;8266;755;41;0
"CI170104";"L";"Vallée du Bandama";"L5";"Dabakala";"L504";"Foumbolo";29022;7200;64;10;357;1705;5006;45;13;0
"CI170105";"L";"Vallée du Bandama";"L5";"Dabakala";"L505";"Niéméné";16684;3582;1;2;11;996;2494;75;3;0
"CI170106";"L";"Vallée du Bandama";"L5";"Dabakala";"L506";"Satama-Sokoro";26163;6048;38;3;14;230;5659;91;13;0
"CI170107";"L";"Vallée du Bandama";"L5";"Dabakala";"L507";"Satama-Sokoura";13067;3004;1;0;60;512;2427;4;0;0
"CI170108";"L";"Vallée du Bandama";"L5";"Dabakala";"L508";"Sokala-Sobara";17824;2922;2;0;12;1334;1496;78;0;0
"CI170109";"L";"Vallée du Bandama";"L5";"Dabakala";"L509";"Tendéné-Bambarasso";15238;2648;107;1;198;394;1940;7;1;0
"CI170110";"L";"Vallée du Bandama";"L5";"Dabakala";"L510";"Yaossédougou";8616;1535;0;0;29;340;1158;4;4;0
"CI170202";"L";"Vallée du Bandama";"L6";"Katiola";"L601";"Fronan";56796;9327;462;12;398;3124;4694;609;28;0
"CI170201";"L";"Vallée du Bandama";"L6";"Katiola";"L602";"Katiola";90641;18052;859;981;4159;5580;4654;1691;119;9
"CI170203";"L";"Vallée du Bandama";"L6";"Katiola";"L603";"Timbé";15035;2694;5;2;21;810;1784;67;5;0
"CI170302";"L";"Vallée du Bandama";"L7";"Niakaramandougou";"L701";"Arikokaha";13486;1807;0;109;33;364;1228;61;12;0
"CI170303";"L";"Vallée du Bandama";"L7";"Niakaramandougou";"L702";"Badikaha";27498;6261;1205;467;943;754;2425;453;14;0
"CI170301";"L";"Vallée du Bandama";"L7";"Niakaramandougou";"L703";"Niakaramandougou";78301;14306;2430;557;371;3366;6895;644;35;8
"CI170304";"L";"Vallée du Bandama";"L7";"Niakaramandougou";"L704";"Niédiékaha";13193;2166;1;0;6;435;1702;19;3;0
"CI170305";"L";"Vallée du Bandama";"L7";"Niakaramandougou";"L705";"Tafiré";32240;5490;336;52;448;1894;2413;341;6;0
"CI170306";"L";"Vallée du Bandama";"L7";"Niakaramandougou";"L706";"Tortiya";30409;5279;66;6;718;1341;2142;988;18;0
"CI330102";"M";"Woroba";"M1";"Kani";"M101";"Djibrosso";22484;4710;353;9;31;1084;2888;336;9;0
"CI330103";"M";"Woroba";"M1";"Kani";"M102";"Fadiadougou";34552;6362;7;20;92;1520;3787;922;14;0
"CI330101";"M";"Woroba";"M1";"Kani";"M103";"Kani";55109;11327;684;1230;252;1384;7223;505;49;0
"CI330104";"M";"Woroba";"M1";"Kani";"M104";"Morondo";19283;3641;346;89;6;567;2401;231;1;0
"CI330202";"M";"Woroba";"M2";"Séguéla";"M201";"Bobi-Diarabana";25063;5800;7;2;71;3459;1943;317;1;0
"CI330203";"M";"Woroba";"M2";"Séguéla";"M202";"Dualla";9996;2489;2;1;2;1551;917;16;0;0
"CI330204";"M";"Woroba";"M2";"Séguéla";"M203";"Kamalo";13584;2864;1;0;55;446;2063;228;71;0
"CI330205";"M";"Woroba";"M2";"Séguéla";"M204";"Massala";40647;6181;5;2;5;918;4947;292;12;0
"CI330201";"M";"Woroba";"M2";"Séguéla";"M205";"Séguéla";103980;18775;551;774;1445;8271;6985;707;41;1
"CI330206";"M";"Woroba";"M2";"Séguéla";"M206";"Sifié";31264;7223;106;66;87;594;6174;186;10;0
"CI330207";"M";"Woroba";"M2";"Séguéla";"M207";"Worofla";66713;11173;50;183;44;3600;6981;262;53;0
"CI070101";"M";"Woroba";"M3";"Dianra";"M301";"Dianra";61527;11176;127;158;350;1803;8163;557;18;0
"CI070102";"M";"Woroba";"M3";"Dianra";"M302";"Dianra-Village";57619;9752;37;295;229;1590;6855;708;38;0
"CI070202";"M";"Woroba";"M4";"Kounahiri";"M401";"Kongasso";37281;5462;130;28;19;1951;3182;132;20;0
"CI070201";"M";"Woroba";"M4";"Kounahiri";"M402";"Kounahiri";63830;9326;59;2;429;3146;5485;188;16;1
"CI070302";"M";"Woroba";"M5";"Mankono";"M501";"Bouandougou";45494;9705;16;140;161;2973;6064;342;9;0
"CI070301";"M";"Woroba";"M5";"Mankono";"M502";"Mankono";74165;11877;621;164;575;3232;6789;481;15;0
"CI070303";"M";"Woroba";"M5";"Mankono";"M503";"Marandallah";42729;6243;1;1;11;1438;4322;437;33;0
"CI070304";"M";"Woroba";"M5";"Mankono";"M504";"Sarhala";42450;9372;249;0;21;5504;3456;139;3;0
"CI070305";"M";"Woroba";"M5";"Mankono";"M505";"Tiéningboué";67055;8640;887;58;137;1249;6056;251;2;0
"CI040102";"M";"Woroba";"M6";"Koro";"M601";"Booko";22894;3429;234;6;7;630;2504;48;0;0
"CI040103";"M";"Woroba";"M6";"Koro";"M602";"Borotou";5202;781;72;31;3;295;373;7;0;0
"CI040101";"M";"Woroba";"M6";"Koro";"M603";"Koro";33567;6780;2591;97;676;1041;2294;25;56;0
"CI040104";"M";"Woroba";"M6";"Koro";"M604";"Mahandougou";6337;896;0;0;103;352;433;7;1;0
"CI040105";"M";"Woroba";"M6";"Koro";"M605";"Niokosso";8346;1281;0;1;2;120;1156;2;0;0
"CI040202";"M";"Woroba";"M7";"Ouaninou";"M701";"Gbèlo";6369;1618;18;2;21;932;552;92;1;0
"CI040203";"M";"Woroba";"M7";"Ouaninou";"M702";"Gouékan";4592;597;0;0;58;46;490;3;0;0
"CI040204";"M";"Woroba";"M7";"Ouaninou";"M703";"Koonan";9970;1322;25;11;40;328;895;16;7;0
"CI040201";"M";"Woroba";"M7";"Ouaninou";"M704";"Ouaninou";27919;4773;14;11;235;1555;2866;82;10;0
"CI040205";"M";"Woroba";"M7";"Ouaninou";"M705";"Saboudougou";5225;870;0;0;4;86;669;51;60;0
"CI040206";"M";"Woroba";"M7";"Ouaninou";"M706";"Santa";11906;1635;0;0;3;301;1137;187;7;0
"CI040302";"M";"Woroba";"M8";"Touba";"M801";"Dioman";6375;1091;1;1;4;246;811;27;1;0
"CI040303";"M";"Woroba";"M8";"Touba";"M802";"Foungbesso";24562;4433;73;7;61;1434;2768;80;10;0
"CI040304";"M";"Woroba";"M8";"Touba";"M803";"Guintéguéla";34575;6261;74;8;7;1010;4862;297;3;0
"CI040301";"M";"Woroba";"M8";"Touba";"M804";"Touba";55013;10451;369;302;1998;3420;3778;532;52;0
"CI140101";"N";"Zanzan";"N1";"Bondoukou";"N101";"Appimadoum";9920;2864;4;0;2;479;2356;22;1;0
"CI140106";"N";"Zanzan";"N1";"Bondoukou";"N102";"Pinda-Boroko";5951;1499;1;0;10;271;1121;83;13;0
"CI140102";"N";"Zanzan";"N1";"Bondoukou";"N103";"Bondo";28482;6479;0;5;216;1101;5129;22;5;1
"CI140103";"N";"Zanzan";"N1";"Bondoukou";"N104";"Bondoukou";141568;36959;5686;6914;3301;6534;12501;1853;149;21
"CI140104";"N";"Zanzan";"N1";"Bondoukou";"N105";"Gouméré";23870;5709;23;30;406;1088;4019;135;8;0
"CI140105";"N";"Zanzan";"N1";"Bondoukou";"N106";"Laoudi-Ba";98053;23639;37;38;124;5152;17889;360;38;1
"CI140107";"N";"Zanzan";"N1";"Bondoukou";"N107";"Sapli-Sépingo";12403;2786;13;19;270;236;2231;15;2;0
"CI140108";"N";"Zanzan";"N1";"Bondoukou";"N108";"Sorobango";34797;8921;0;0;21;1356;7436;101;5;2
"CI140109";"N";"Zanzan";"N1";"Bondoukou";"N109";"Tabagne";26909;6990;112;601;548;1059;4589;71;10;0
"CI140110";"N";"Zanzan";"N1";"Bondoukou";"N110";"Tagadi";35143;7436;0;7;7;1273;6016;124;9;0
"CI140111";"N";"Zanzan";"N1";"Bondoukou";"N111";"Taoudi";27917;6292;1;0;297;552;5420;15;7;0
"CI140112";"N";"Zanzan";"N1";"Bondoukou";"N112";"Yézimala";8829;2769;2;0;20;883;1780;82;2;0
"CI140202";"N";"Zanzan";"N2";"Koun Fao";"N201";"Boahia";11834;2153;1;6;119;554;1448;25;0;0
"CI140203";"N";"Zanzan";"N2";"Koun Fao";"N202";"Kokomian";15090;2511;196;7;61;990;1064;117;14;62
"CI140204";"N";"Zanzan";"N2";"Koun Fao";"N203";"Kouassi-Datékro";30328;7054;8;7;34;1124;5776;105;0;0
"CI140201";"N";"Zanzan";"N2";"Koun Fao";"N204";"Koun-Fao";49280;10047;534;77;438;2153;6487;351;5;2
"CI140205";"N";"Zanzan";"N2";"Koun Fao";"N205";"Tankessé";35940;7875;68;86;284;1642;5476;307;11;1
"CI140206";"N";"Zanzan";"N2";"Koun Fao";"N206";"Tienkoikro";25409;4856;15;9;246;1411;3068;85;21;1
"CI140302";"N";"Zanzan";"N3";"Sandegue";"N301";"Bandakagni-Tomora";11264;2611;0;0;10;862;1732;5;2;0
"CI140303";"N";"Zanzan";"N3";"Sandegue";"N302";"Dimandougou";9190;2404;2;0;6;513;1801;82;0;0
"CI140301";"N";"Zanzan";"N3";"Sandegue";"N303";"Sandégué";26918;6638;201;9;44;2753;3511;95;24;1
"CI140304";"N";"Zanzan";"N3";"Sandegue";"N304";"Yorobodi";22369;5655;0;0;8;1713;3889;36;9;0
"CI140502";"N";"Zanzan";"N4";"Transua";"N401";"Assuéfry";45293;7748;746;104;160;1408;5194;134;2;0
"CI140503";"N";"Zanzan";"N4";"Transua";"N402";"Kouassia-Niaguini";21522;2949;3;0;74;389;2143;332;8;0
"CI140501";"N";"Zanzan";"N4";"Transua";"N403";"Transua";46026;8213;36;19;595;1808;5097;644;13;1
"CI140402";"N";"Zanzan";"N5";"Tanda";"N501";"Amanvi";10141;2977;12;8;10;761;2160;20;6;0
"CI140403";"N";"Zanzan";"N5";"Tanda";"N502";"Diamba";17045;3761;6;0;295;218;3207;26;9;0
"CI140401";"N";"Zanzan";"N5";"Tanda";"N503";"Tanda";69597;16100;5097;807;325;1297;8206;324;43;1
"CI140404";"N";"Zanzan";"N5";"Tanda";"N504";"Tchèdio";16740;3855;4;0;63;443;3220;113;12;0
"CI080101";"N";"Zanzan";"N6";"Bouna";"N601";"Bouko";24550;3230;2;9;38;1224;1848;31;0;78
"CI080102";"N";"Zanzan";"N6";"Bouna";"N602";"Bouna";94883;17285;1000;1080;1063;3879;9401;845;17;0
"CI080103";"N";"Zanzan";"N6";"Bouna";"N603";"Ondéfidouo";33822;4855;1;2;7;1133;3470;232;10;0
"CI080105";"N";"Zanzan";"N6";"Bouna";"N604";"Youndouo";24826;3494;136;17;4;543;2741;49;4;0
"CI080104";"N";"Zanzan";"N6";"Bouna";"N60X";"Parc National de Bona";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CI080201";"N";"Zanzan";"N7";"Doropo";"N701";"Danoa";13502;1465;0;0;5;204;1209;46;1;0
"CI080202";"N";"Zanzan";"N7";"Doropo";"N702";"Doropo";48225;8269;287;217;501;1544;5019;674;27;0
"CI080203";"N";"Zanzan";"N7";"Doropo";"N703";"Kalamon";9236;1400;1;0;0;341;1047;8;3;0
"CI080204";"N";"Zanzan";"N7";"Doropo";"N704";"Niamoué";22423;2493;1;0;8;230;2170;82;1;1
"CI080302";"N";"Zanzan";"N8";"Nassian";"N801";"Bogofa";10544;1937;0;1;2;667;1213;45;9;0
"CI080303";"N";"Zanzan";"N8";"Nassian";"N802";"Kakpin";8441;1719;1;0;1;168;1324;207;18;0
"CI080304";"N";"Zanzan";"N8";"Nassian";"N803";"Koutouba";14209;2516;1;0;6;213;2287;5;4;0
"CI080301";"N";"Zanzan";"N8";"Nassian";"N804";"Nassian";27159;6267;221;23;114;759;4975;149;26;0
"CI080305";"N";"Zanzan";"N8";"Nassian";"N805";"Sominassé";11371;2079;1;1;0;362;1710;4;1;0
"CI080402";"N";"Zanzan";"N9";"Téhini";"N901";"Gogo";23509;2328;54;1;1;333;1928;10;0;1
"CI080401";"N";"Zanzan";"N9";"Téhini";"N902";"Téhini";29755;3483;17;102;138;681;2402;142;1;0
"CI080403";"N";"Zanzan";"N9";"Téhini";"N903";"Tougbo";30582;3772;72;1;3;749;2908;33;3;3
